atr_mult,rebound,vol_block,atr_fast,final,dd,months,med,yup,ruin
5.0,0.75,0.9,30,1491.1733684930898,13.98986446203582,62.55506607929515,8.234326614610033,18,False
5.0,0.75,0.9,35,1426.4614243258502,15.526618842644368,63.87665198237885,7.491840349167678,18,False
5.0,0.75,1.0,25,1174.2253444449095,19.48787751458835,64.31718061674009,7.528591026436593,18,False
5.0,0.75,1.0,30,1549.2468603445025,14.80908042700494,63.436123348017624,7.3103397837991135,18,False
5.0,0.75,1.0,35,1203.454914687465,14.01371287445208,61.23348017621145,6.584333541951337,19,False
5.4,0.55,0.8,25,1336.1013205266645,10.080441641156268,58.590308370044056,4.805774852397726,19,False
5.4,0.55,0.8,30,1691.7712700248499,14.364659303709578,69.60352422907489,5.743171171208261,19,False
5.4,0.55,0.8,35,1419.151006363347,15.061453609799818,64.75770925110133,8.798876810586531,19,False
5.4,0.55,0.9,25,1293.189709794333,11.854673036924746,65.19823788546255,6.293613601294079,19,False
5.4,0.55,0.9,30,1336.5511059700575,15.653459750574292,63.87665198237885,7.670208506420817,17,False
5.4,0.55,0.9,35,1557.9660340255944,17.205033758246643,67.84140969162996,9.731563770915397,18,False
5.4,0.55,1.0,25,1629.8665107369009,11.69092378147477,63.436123348017624,6.732624297002987,19,False
5.4,0.55,1.0,30,1365.1533303408892,14.452429304301138,66.07929515418502,6.196766275560317,19,False
5.4,0.55,1.0,35,1294.9017484607239,20.20344105589695,61.23348017621145,7.8735514867496414,19,False
5.4,0.65,0.8,25,1649.0604728074009,10.498739778671865,67.40088105726872,5.712535008988695,19,False
5.4,0.65,0.8,30,1700.562637608798,13.901053363527675,65.19823788546255,9.64897174886361,18,False
5.4,0.65,0.8,35,1360.7143698629366,15.416249645400857,62.99559471365639,7.299575579168094,19,False
5.4,0.65,0.9,25,1443.472937970141,12.345520064704905,65.63876651982379,7.565926070923457,19,False
5.4,0.65,0.9,30,1716.5566880468855,14.982253502597997,66.96035242290749,6.4655815156258845,19,False
5.4,0.65,0.9,35,1491.538395805824,17.397301608682874,64.75770925110133,7.306082433115901,19,False
5.4,0.65,1.0,25,1324.5228217760261,11.330042021633139,62.55506607929515,7.438383310341923,19,False
5.4,0.65,1.0,30,1299.7480762284697,13.843962882396472,64.75770925110133,7.290285252808859,17,False
5.4,0.65,1.0,35,1321.8083552026342,15.691906835339415,62.99559471365639,6.744721169974066,18,False
5.4,0.75,0.8,25,1469.9416503450207,12.460563605677153,66.96035242290749,6.204954389239226,19,False
5.4,0.75,0.8,30,1373.9250892775274,14.57164428840779,63.87665198237885,7.208249522613386,18,False
5.4,0.75,0.8,35,1474.4372366982507,16.423027123806826,65.19823788546255,6.48451113476336,19,False
5.4,0.75,0.9,25,1563.7429588648367,14.368533414380272,66.96035242290749,6.152019085310112,19,False
