atr_mult,equity_stop,max_open,vol_block,rebound,dd_pause_bars,atr_fast,e_final,e_dd,e_months,e_yup,e_tpy,e_peak,e_ruin
3.5,20.0,10,1.0,0.65,10,15,1140.3037750631725,25.77197793764724,62.99559471365639,19,460.5263157894737,7,False
3.5,20.0,20,0.8,0.45,10,15,1647.7686096833106,20.645691854063873,67.40088105726872,15,549.9473684210526,8,False
3.5,20.0,20,0.8,0.65,10,15,2335.176826830879,15.490797662020325,74.8898678414097,18,435.5263157894737,8,False
3.5,20.0,20,1.0,0.45,10,15,329.30384676574346,70.3773550994339,46.69603524229075,11,664.1052631578947,8,False
3.5,20.0,20,1.0,0.65,10,15,1213.9218091200917,25.583965891446443,64.75770925110133,17,545.6842105263158,8,False
3.5,35.0,10,0.8,0.45,10,15,1639.387342676745,30.853280088137108,59.03083700440529,19,397.1578947368421,7,False
3.5,35.0,10,0.8,0.65,10,15,2054.173807187312,31.925719103559363,66.51982378854625,18,286.7894736842105,8,False
3.5,35.0,10,1.0,0.45,10,15,586.6577334401718,65.19748119654805,48.01762114537445,13,586.6315789473684,6,False
3.5,35.0,10,1.0,0.65,10,15,1336.4566405497462,22.697958317641238,62.55506607929515,18,450.42105263157896,8,False
3.5,35.0,20,0.8,0.45,10,15,1595.7734123882842,23.53081984459059,64.75770925110133,15,543.6315789473684,8,False
3.5,35.0,20,0.8,0.65,10,15,2054.9254339841045,17.62642502192472,64.31718061674009,18,425.2105263157895,8,False
3.5,35.0,20,1.0,0.45,10,15,702.7262226350058,48.73034098463086,45.81497797356828,13,662.7368421052631,8,False
3.5,35.0,20,1.0,0.65,10,15,1615.6855294095403,23.24531281103484,58.590308370044056,16,535.4736842105264,8,False
3.5,60.0,10,0.8,0.45,10,15,1871.1182412635756,50.69903383707859,57.268722466960355,14,360.10526315789474,8,False
3.5,60.0,10,0.8,0.65,10,15,2839.8606078525627,34.371302213651056,63.87665198237885,18,259.89473684210526,7,False
3.5,60.0,10,1.0,0.45,10,15,1082.1249502136761,43.33738394739159,48.458149779735685,13,568.6315789473684,6,False
3.5,60.0,10,1.0,0.65,10,15,1490.8138203331782,31.435219677291254,57.268722466960355,16,409.1578947368421,5,False
3.5,60.0,20,0.8,0.45,10,15,2255.880480822582,22.391418613078574,58.590308370044056,14,535.3684210526316,8,False
3.5,60.0,20,0.8,0.65,10,15,2556.147183386753,21.653760679417253,62.55506607929515,16,424.36842105263156,8,False
3.5,60.0,20,1.0,0.45,10,15,602.7325017336841,35.558780615210814,45.81497797356828,10,639.4736842105264,8,False
3.5,60.0,20,1.0,0.65,10,15,1319.9661472610792,26.642139734690968,57.70925110132159,16,529.7894736842105,10,False
4.5,10.0,10,0.8,0.45,10,15,1780.3263369380632,12.87626349974392,73.568281938326,19,300.7368421052632,6,False
4.5,10.0,10,0.8,0.65,10,15,2605.9452279907528,17.481067001109178,86.34361233480176,19,257.63157894736844,7,False
4.5,10.0,10,1.0,0.45,10,15,1356.326799644098,18.154331945355796,65.19823788546255,19,379.94736842105266,6,False
4.5,10.0,10,1.0,0.65,10,15,1748.992142082895,19.54487212822527,73.568281938326,19,314.3157894736842,7,False
4.5,10.0,20,0.8,0.45,10,15,1630.2567999625564,11.926883761397109,72.68722466960352,19,367.2631578947368,7,False
4.5,10.0,20,0.8,0.65,10,15,2470.437767763522,11.733618949119382,87.22466960352423,19,313.5263157894737,9,False
4.5,10.0,20,1.0,0.45,10,15,1250.1519277347943,17.820702641218084,62.55506607929515,19,419.5263157894737,9,False
4.5,10.0,20,1.0,0.65,10,15,1966.06460748626,13.225679764214679,81.4977973568282,19,348.8421052631579,8,False
