atr_mult,rebound,vol_block,atr_fast,max_open,equity_stop,final,dd,net,months,yup,tpy,ruin,trades
4.0,0.75,0.7,15,10,9.0,2465.7691982572755,28.32365947137904,2365.8891982572754,85.02202643171806,19,221.1610334390314,False,4201
4.0,0.75,0.7,15,12,4.0,2650.8602227549745,25.57546873770696,2550.8602227549745,92.95154185022027,19,273.0162150475641,False,5186
4.0,0.75,0.7,15,12,6.0,2686.400190326312,25.37515519542109,2586.520190326312,93.3920704845815,19,269.91016863649463,False,5127
4.0,0.75,0.7,15,12,9.0,2631.1120035241934,51.023209899462465,2531.1120035241934,84.14096916299559,19,251.58975929662725,False,4779
4.0,0.75,0.7,15,15,4.0,2707.0468569152613,25.178765036058714,2607.0468569152613,90.7488986784141,19,299.5492216777169,False,5690
4.0,0.75,0.7,15,15,6.0,2644.5458988955115,24.982261395765644,2544.5458988955115,91.18942731277532,19,302.33939896223694,False,5743
4.0,0.75,0.7,15,15,9.0,2594.626961793721,22.91335741848408,2494.626961793721,87.22466960352423,19,287.1776808878639,False,5455
4.0,0.75,0.7,20,10,4.0,2413.6854560502697,24.338897393123357,2313.8229560502696,89.42731277533039,19,231.53206976073795,False,4398
4.0,0.75,0.7,20,10,6.0,2593.955909782705,28.855067428558268,2494.093409782705,88.54625550660793,19,230.79504179878927,False,4384
4.0,0.75,0.7,20,10,9.0,2465.561699187653,22.677049268644165,2365.699199187653,85.90308370044053,19,227.6363505332949,False,4324
4.0,0.75,0.7,20,12,4.0,2455.116419276049,24.28438228184568,2355.2539192760487,90.30837004405286,19,268.014953877198,False,5091
4.0,0.75,0.7,20,12,6.0,2652.148271522697,28.812657905410138,2552.285771522697,88.98678414096916,19,267.5937950417988,False,5083
4.0,0.75,0.7,20,12,9.0,2684.652254085892,22.61643086495244,2584.7897540858917,85.46255506607929,19,261.75021620063416,False,4972
4.0,0.75,0.7,20,15,4.0,2351.635458483804,29.37932732956256,2251.635458483804,89.42731277533039,19,300.3388944940905,False,5705
4.0,0.75,0.7,20,15,6.0,2414.399881180174,44.27217212668297,2314.399881180174,89.86784140969164,19,301.54972614586336,False,5728
4.0,0.75,0.7,20,15,9.0,2650.843402953366,33.18273865952207,2550.980902953366,87.22466960352423,19,293.23183914672813,False,5570
4.0,0.75,0.8,10,10,4.0,2419.0844992063335,19.429134058739145,2319.0844992063335,90.7488986784141,19,288.4411573940617,False,5479
4.0,0.75,0.8,10,10,6.0,2490.697584920634,19.90971895299092,2390.697584920634,89.42731277533039,19,275.0693643701355,False,5225
4.0,0.75,0.8,10,10,9.0,2270.1626984127147,19.204674766209003,2170.1626984127147,81.93832599118943,19,258.3283006630153,False,4907
4.0,0.75,0.8,10,12,4.0,2271.3585555555633,20.32720279434787,2171.3585555555633,91.18942731277532,19,309.5517440184491,False,5880
4.0,0.75,0.8,10,12,6.0,2310.232512698389,21.13056945657291,2210.232512698389,90.30837004405286,19,304.76106226578264,False,5789
4.0,0.75,0.8,10,12,9.0,2478.365483333313,8.777674163170369,2378.365483333313,84.14096916299559,19,291.3366243874315,False,5534
4.0,0.75,0.8,10,15,4.0,2327.74991269844,19.05259116571555,2227.74991269844,89.86784140969164,19,342.0862640530412,False,6498
4.0,0.75,0.8,10,15,6.0,2257.486914285738,17.918517471090208,2157.486914285738,88.10572687224669,19,339.6646007494955,False,6452
4.0,0.75,0.8,10,15,9.0,2589.2122325397177,17.538662494163127,2489.2122325397177,83.70044052863436,19,337.0323580282502,False,6402
4.0,0.75,0.8,15,10,4.0,2294.8279913253373,14.372018923431007,2194.8279913253373,93.83259911894272,19,289.33611991928507,False,5496
4.0,0.75,0.8,15,10,6.0,2234.381650743698,19.39458923666853,2134.9336507436983,89.86784140969164,19,285.9142043816662,False,5431
4.0,0.75,0.8,15,10,9.0,2067.9488312409717,17.356059376665662,1967.9488312409717,84.14096916299559,19,263.6980758143557,False,5009
4.0,0.75,0.8,15,12,4.0,2282.177662798304,16.851531798663906,2182.177662798304,88.54625550660793,19,317.9222758720092,False,6039
