atr_mult,rebound,vol_block,equity_stop,max_open,dd_pause_bars,atr_fast,e_final,e_dd,e_months,e_yup,e_tpy,e_peak,e_ruin
4.5,0.45,1.0,6.0,20,10,15,1109.800508778731,17.440351073714652,70.04405286343612,19,425.36842105263156,6,False
4.5,0.45,1.0,6.0,40,10,15,1102.5087747128082,17.440351073714652,71.36563876651982,19,428.1578947368421,6,False
4.5,0.45,1.0,10.0,20,10,15,1250.1519277347943,17.820702641218084,62.55506607929515,19,419.5263157894737,9,False
4.5,0.45,1.0,10.0,40,10,15,1268.675596141398,17.820702641218084,64.75770925110133,19,421.5263157894737,9,False
4.5,0.45,1.0,16.0,20,10,15,1324.5415251935945,18.236562330011292,64.75770925110133,19,415.0,9,False
4.5,0.45,1.0,16.0,40,10,15,1318.1809116633915,18.236562330011292,65.19823788546255,19,421.05263157894734,9,False
4.5,0.65,0.8,6.0,20,10,15,2354.0144156343713,14.036135737590305,89.42731277533039,19,323.2631578947368,8,False
4.5,0.65,0.8,6.0,40,10,15,2367.9670516920605,14.036135737590305,91.18942731277532,19,329.7368421052632,8,False
4.5,0.65,0.8,10.0,20,10,15,2470.437767763522,11.733618949119382,87.22466960352423,19,313.5263157894737,9,False
4.5,0.65,0.8,10.0,40,10,15,2460.4857363823853,16.29316550984471,88.54625550660793,19,322.8421052631579,9,False
4.5,0.65,0.8,16.0,20,10,15,2487.8971728022025,14.146664219050049,78.8546255506608,19,310.8421052631579,9,False
4.5,0.65,0.8,16.0,40,10,15,2374.136328234288,18.928027186650557,81.05726872246696,19,319.10526315789474,9,False
4.5,0.65,1.0,6.0,20,10,15,1892.2675742569743,13.115187368994924,78.8546255506608,19,354.42105263157896,7,False
4.5,0.65,1.0,6.0,40,10,15,1920.6843847964412,13.115187368994924,79.73568281938326,19,358.89473684210526,6,False
4.5,0.65,1.0,10.0,20,10,15,1966.06460748626,13.225679764214679,81.4977973568282,19,348.8421052631579,8,False
4.5,0.65,1.0,10.0,40,10,15,1874.448136382344,13.225679764214679,79.29515418502203,19,353.1578947368421,8,False
4.5,0.65,1.0,16.0,20,10,15,1653.7627083541397,19.24678735345128,67.40088105726872,19,332.05263157894734,7,False
4.5,0.65,1.0,16.0,40,10,15,1644.68315872877,19.24678735345128,67.40088105726872,19,341.6842105263158,6,False
